,objectid,x,y,date_updte,address,city,state,zipcode,fac_name,fac_type,ferry_t,ferry_i,bus_t,bus_i,bus_code_s,bus_supp,rail_i,rail_c,rail_h,rail_light,air_serve,bike_share,bike_sys,i_service,t_service,modes_serv,mode_bus,mode_air,mode_rail,mode_ferry,mode_bike
651,2921,-88.21944,42.19778,04/16/16,4015 N Nortwest Hwy,Fox River,IL,98201,Fox River Grove,11,0,3,0.0,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,1,0,0
652,3794,-80.245,36.0997,09/16/16,100 W 5th St,Winston-Salem,NC,27101,Greyhound Bus Station,2,3,3,1.0,1,1,3,3,3,3,3,3,3,,1,1,1,1,0,0,0,0
653,3795,-79.43629,36.09418,04/16/16,101 N Main St,Burlington,NC,27217,Amtrak Station,10,3,3,3.0,0,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
654,3796,-80.00584,35.95751,04/16/16,100 W High St,High Point,NC,27260,Amtrak Station,10,3,3,1.0,0,3,3,1,3,3,3,0,3,,1,1,2,1,0,1,0,0
655,3797,-79.9373,36.09775,04/16/16,6415 Bryan Blvd,Greensboro,NC,27409,Piedmont Triad Intl,1,3,3,0.0,0,3,3,0,3,3,3,1,3,,1,0,1,0,1,0,0,0
656,3798,-78.77968,35.78771,04/16/16,211 N Academy St,Cary,NC,27511,Amtrak Station,10,3,3,1.0,0,3,3,1,3,3,3,0,0,,1,1,2,1,0,1,0,0
657,3799,-78.036,35.3286,09/16/16,2600 US117 S,Goldsboro,NC,27530,,2,3,3,3.0,1,3,3,3,3,3,3,3,3,,1,0,1,1,0,0,0,0
658,3800,-78.387,36.2969,09/16/16,230 Vanco Mill Rd,Henderson,NC,27537,,2,3,3,3.0,1,3,3,3,3,3,3,3,3,,1,0,1,1,0,0,0,0
659,3801,-78.28144,35.5322,04/16/16,500 E Railroad St,Selma,NC,27576,Amtrak Station,10,3,3,0.0,0,3,3,1,3,3,3,0,0,,1,0,1,0,0,1,0,0
660,3802,-78.346,35.5025,09/16/16,600 Brightleaf Blvd,Smithfield,NC,27577,,2,3,3,0.0,1,3,3,0,3,3,3,0,0,,1,0,1,1,0,0,0,0
661,3803,-78.64449,35.77375,04/16/16,320 W Cabarrus St,Raleigh,NC,27601,Amtrak Station,10,3,3,1.0,0,3,3,1,3,3,3,0,0,,1,1,2,1,0,1,0,0
662,3804,-78.6495,35.7445,09/16/16,2708 S Saunders St,Raleigh,NC,27603,Curbside bus stop,2,3,3,1.0,1,3,3,0,3,3,3,0,0,,1,1,1,1,0,0,0,0
663,3805,-78.78747,35.87764,04/16/16,2700 Terminal Blvd,Raleigh/Durham,NC,27623,Raleigh-Durham Intl,1,3,3,1.0,0,3,3,0,3,3,3,1,0,,1,1,2,1,1,0,0,0
664,3806,-78.90723,35.997040000000005,04/16/16,400 W Chapel Hill St,Durham,NC,27701,Amtrak Station,10,3,3,1.0,2,3,3,1,3,3,3,3,3,,1,1,2,1,0,1,0,0
665,3807,-78.89699999999999,35.9897,09/16/16,515 W Pettigrew St,Durham,NC,27701,Greyhound Bus Station,2,3,3,1.0,1,3,3,2,3,3,3,3,3,,1,1,1,1,0,0,0,0
